feature,importance
Monetary,0.039196518867646885
predicted_purchases_180d,0.026111042428287292
predicted_purchases_90d,0.02594344640406076
CLV_180d,0.023753176621500432
predicted_purchases_30d,0.023228653109066036
early_period_revenue,0.02164639679629805
Frequency,0.020491625964839198
CLV_90d,0.019704539321173886
CLV_365d,0.015796434016398478
predicted_avg_value,0.015675004359754007
product_exploration_rate,0.015525669266667656
purchase_gap_mean,0.013734531548810287
AvgOrderValue,0.013500365896962352
AvgBasketSize,0.012856827059013715
purchase_gap_std,0.011055480746333222
avg_items_per_order,0.010105023512737106
purchase_gap_cv,0.009497055487380265
Recency,0.009299583066207566
Tenure,0.009217634213987814
late_period_revenue,0.00822611324539236
quantity_velocity,0.006288103933182243
purchase_gap_velocity,0.005758521978481128
revenue_velocity,0.003758809881695407
product_diversity_ratio,0.0034897544168384954
unique_products,0.003031689619888046
purchase_regularity,0.002473114385912762
weekend_purchase_ratio,0.0007564116185436763
revenue_trend,0.0005565439831213051
day_of_week_diversity,0.0002407237861873705
prob_alive,0.0
